Configuration,Feature,Classifier,Accuracy,F1-Score
BoW + NB,BoW,NB,0.95995670995671,0.9597120262364222
"N-gram(1,2) + NB","N-gram(1,2)",NB,0.9588744588744589,0.95851562417881
TF-IDF + NB,TF-IDF,NB,0.9556277056277056,0.955227032455629
TF-IDF + SVM,TF-IDF,SVM,0.9534632034632035,0.9532044712383303
"N-gram(1,2) + RandomForest","N-gram(1,2)",RandomForest,0.9415584415584416,0.9417562905844156
TF-IDF + RandomForest,TF-IDF,RandomForest,0.9329004329004329,0.9330580601081319
BoW + RandomForest,BoW,RandomForest,0.9307359307359307,0.9308733062603032
"N-gram(1,2) + SVM","N-gram(1,2)",SVM,0.9177489177489178,0.9183110992315701
BoW + SVM,BoW,SVM,0.9166666666666666,0.9172101707118996
